---0---
114|-7|0|10|40|0
114|19|0|10|40|0
116|71|0|10|40|0
131|111|0|10|40|0
154|132|0|10|40|0
198|139|0|10|40|0
227|133|0|10|40|0
257|87|0|10|40|0
261|68|0|10|40|0
251|65|0|10|40|0
224|65|0|10|40|0
184|94|0|10|40|0
164|133|0|10|40|0
156|184|0|10|40|0
156|203|0|10|40|0
156|214|0|10|40|0
---1---
237|191|0|10|40|0
230|193|0|10|40|0
170|221|0|10|40|0
132|237|0|10|40|0
110|241|0|10|40|0
91|241|0|10|40|0
77|236|0|10|40|0
67|219|0|10|40|0
66|194|0|10|40|0
69|187|0|10|40|0
73|187|0|10|40|0
74|187|0|10|40|0
95|185|0|10|40|0
166|217|0|10|40|0
206|257|0|10|40|0
229|286|0|10|40|0
235|294|0|10|40|0
256|303|0|10|40|0
282|314|0|10|40|0
290|320|0|10|40|0
300|-45|9|190|40|0
300|-29|9|190|40|0
300|52|9|190|40|0
318|197|9|190|40|0
337|295|9|190|40|0
340|309|9|190|40|0
